ref_id,section,bug_description,reported_date,severity,due_date,dev_type,eta,actual,status
QA-001,Phase 02 : Menu/Notification/InApp/User Permission,Button send readmission email is not working (This issue happens when login as All user type that has permission in Re-Admission menu),24/05/2022,Blocking,01/06/2022,1,0:45,,PASS
QA-002,Phase 02 : Menu/Notification/InApp/User Permission,Cannot find notification READ_REG_N1 in notification table,24/05/2022,Blocking,31/05/2022,1,1:30,,PASS
QA-003,Phase 02 : Menu/Notification/InApp/User Permission,Improve table User Permission,24/05/2022,Moderate,31/05/2022,1,1:00,,PASS
QA-004,Phase 03 : Assignment Table Population,Data in column Intake Channel is still empty,25/05/2022,Major,31/05/2022,1,0:30,,PASS
QA-005,Phase 05 : Assignment Table Edit Jury Decision & Program Desired,Super Filter Scholar Season is not displaying the correct data on the table,30/05/2022,Major,01/06/2022,1,0:30,,PASS
QA-006,Phase 05 : Assignment Table Edit Jury Decision & Program Desired,Filter in Type of Formation is not displaying the data on the table,30/05/2022,Major,01/06/2022,1,0:30,,PASS
QA-007,Phase 05 : Assignment Table Edit Jury Decision & Program Desired,[BE]Filter Financial Situation is still not working,30/05/2022,Major,31/05/2022,1,0:30,,PASS
QA-008,Phase 06 : Assignment Table Import,The screen keeps loading after I import students,30/05/2022,Blocking,02/06/2022,1,0:40,,PASS
QA-009,Phase 06 : Assignment Table Import,Header CSV template for import is not populated properly,30/05/2022,Major,31/05/2022,1,0:40,,PASS
QA-010,Phase 10 : Improvement Student Card Financement Tab,Thre is no financement tab even the student has the financement step,31/05/2022,Blocking,01/06/2022,1,0:45,,PASS
QA-011,Phase 07 : Readmission Follow Up Table,There is no file downloaded when I export student in follow up table,31/05/2022,Major,03/06/2022,1,0:45,0:41,PASS
QA-012,Phase 07 : Readmission Follow Up Table,"School, Campus, Level, Sector, and Speciality in subject email is not populated",31/05/2022,Major,01/06/2022,1,0:40,,PASS
QA-013,Phase 07 : Readmission Follow Up Table,"Access link to form in email is not clickable, user has to copy paste it",31/05/2022,Major,01/06/2022,1,0:40,0:50,PASS
QA-014,Phase 10 : Improvement Student Card Financement Tab,"When students already add financement in the form, the financement is not populated in the tab financement in student card",31/05/2022,Blocking,01/06/2022,1,0:50,,PASS
QA-015,Phase 02 : Menu/Notification/InApp/User Permission,Cannot find notification READ_REG_N2  and READ_REG_N8 in notification table ,01/06/2022,Major,02/06/2022,1,0:40,0:19,PASS
QA-016,Phase 07 : Readmission Follow Up Table,"When User click button Resend Readmission email, it triggers REG_N8 and not READ_REG_N8",01/06/2022,Major,02/06/2022,1,0:45,0:19,PASS
QA-017,Phase 06 : Assignment Table Import,Implement validation or not mandatory field for import csv,01/06/2022,Improvement,02/06/2022,1,0:40,,PASS
QA-018,Phase 07 : Readmission Follow Up Table,Swall error when I send readmission email using button in action column,02/06/2022,Major,03/06/2022,1,0:30,,PASS
QA-019,Phase 07 : Readmission Follow Up Table,Cannot export Assignment table,02/06/2022,Major,03/06/2022,1,0:45,1:11,PASS
QA-020,Phase 07 : Readmission Follow Up Table,Cannot go to the next step when filling form with type of formation FI,02/06/2022,Blocking,03/06/2022,1,1:00,1:23,PASS
QA-021,Phase 07 : Readmission Follow Up Table,New student Assigned from Assignment Table is not on top of the Follow Up Table,03/06/2022,Moderate,07/06/2022,1,0:40,0:45,PASS
QA-022,Phase 03 : Assignment Table Population,Add New status [EN] In scholarship [FR] En cours de scolarité for ASsignment Table,03/06/2022,Improvement,08/06/2022,1,1:00,1:00,PASS
QA-023,Phase 06 : Assignment Table Import,Implement notification to inform User about the failed import,03/06/2022,Improvement,08/06/2022,1,1:00,1:20,PASS
QA-024,Phase 06 : Assignment Table Import,Cannot import student,03/06/2022,Blocking,03/06/2022,1,0:30,,PASS
QA-025,Phase 08 : Improvement Student Card Student Tab,SWAL error when trying to access Mailbox in student card,07/06/2022,Major,07/06/2022,1,0:45,,NAB
QA-026,Phase 03 : Assignment Table Population,Need to add new Status for Jury Decision,08/06/2022,Improvement,08/06/2022,1,0:45,0:30,PASS
QA-027,Phase 07 : Readmission Follow Up Table,Update the Export ReAdmission Follow Up table to handle the new Column Jury Decision,08/06/2022,Improvement,08/06/2022,1,0:45,0:25,PASS
QA-028,Phase 07 : Readmission Follow Up Table,DP method SEPA is displayed as Undefined in Export ReAdmission follow Up Export CSV,10/06/2022,Moderate,10/06/2022,1,1:00,1:15,PASS
QA-029,Phase 09 : Improvement Student Card Finance Tab,Billing of schoalrship fee for student ReAdmission is generated twice,10/06/2022,Moderate,10/06/2022,1,2:00,1:54,PASS
QA-030,Phase 06 : Assignment Table Import,Implement conversion of email address to @yopmail.com for import in assignment table,14/06/2022,Improvement,15/06/2022,1,0:30,0:33,PASS
QA-031,Phase 01 : Improvement Intake Channel,"There is error displayed when click continue on step ""modality payment"" ",14/06/2022,Blocking,15/06/2022,1,0:40,,PASS
QA-032,Phase 03 : Assignment Table Population,Status displayed Undefined in CSV when I export student with status Resigned after Registered,14/06/2022,Major,15/06/2022,1,0:40,,PASS
QA-033,Phase 01 : Improvement Intake Channel,Option On dropdown list template form re-admission not displayed properly,14/06/2022,Major,16/06/2022,1,0:35,,PASS
QA-034,Phase 03 : Assignment Table Population,The error message displayed when i export with filter financial situation,15/06/2022,Major,16/06/2022,1,0:35,,PASS
QA-035,Phase 03 : Assignment Table Population,"I assign student after filter in super filter and then select all, I get sweet alert BRAVO but the student is still in assignment table",15/06/2022,Major,16/06/2022,1,0:40,,PASS
QA-036,Phase 07 : Readmission Follow Up Table,Students status on transaction table is authorized but on readmission follow up table status is enggaged pay with credit card with status not paid,17/06/2022,Major,17/06/2022,1,0:45,,PASS
QA-037,Phase 07 : Readmission Follow Up Table,"Transfer Program:
When the stuent is transfered to a new program, the status of the student must be back to Admis again automatically, so the stuent can complete the admission form again.

Currently, when I transfer the student to new program:  the status of the student didnt change back to Admis",04/07/2022,Moderate,05/07/2022,1,1:00,2:23,PASS
QA-038,Phase 07 : Readmission Follow Up Table,"Transfer Program:
When a student is transferred to new program the Registration Profile and Send Registration status is not resetted. so after I Transfer a student to new program I cannot Assign him new Registration profile and send him new re-admission flow to be filled",04/07/2022,Blocking,05/07/2022,1,1:00,1:14,PASS
QA-039,Phase 07 : Readmission Follow Up Table,"Transfer Program:
Student Photo is not taken automatically in the new re-admission form of the new program.

Case:
1. I complete admission form of 1 student (includint the Identity with the photo)
2. Then I transfer the student to a new program and send again registration email
3. When I access step Identity, all my data is there except the Photo it become emtpy",04/07/2022,Major,05/07/2022,1,0:50,,PASS
QA-040,Phase 04 : Employability Survey ES Parameters,"After sending one time ES in Active Student Table, selected template is not displayed in ES Employability Suvey Parameters ",22/07/2022,Major,,1,0:40,0:40,PASS
QA-041,Phase 10 : Form Lifecycle Task and Notification,Stop notification ESurvey_N1. as this notification is no longer exist in the notificaiton document,22/07/2022,Moderate,,1,0:25,0:03,PASS
QA-042,Phase 08 : Student UI Employability Survey,Keys are not translated in form filling of student header/direction,22/07/2022,Major,,1,0:30,1:00,PASS
QA-043,Phase 05 : Employability Survey ES Result Table,"I click ""Send to student"" button and it is bravo. but the student is not displayed on the ES Result table",22/07/2022,Blocking,,1,0:30,1:00,PASS
QA-044,Phase 10 : Form Lifecycle Task and Notification,Notification History: ESurvey_N3A have no Title and School in notification history,22/07/2022,Moderate,,1,0:30,1:45,PASS
QA-045,Phase 03 : Employability Survey Detail,"Column Final Transcript Result: there is no data displayed when I filter option RETAKE and INITIAL. actually I have 1 student that I set as Retake and still many student in initial status

Test Data: MA 2022",22/07/2022,Major,,1,1:00,1:30,PASS
QA-046,Phase 03 : Employability Survey Detail,There is graphQl error displayed when I sort the data on status column,22/07/2022,Major,,1,0:15,0:15,PASS
QA-047,Phase 10 : Form Lifecycle Task and Notification,"Notification: Link in notification to access the Form still containing user and user type id of ADMTC Director
so when student access there is no button displayed",22/07/2022,Blocking,,1,,,PASS
QA-048,Phase 04 : Employability Survey ES Parameters,"Send ES:  After I submit the ES it sent to every student even the student did not have decision yet. and it is directly sent, while in the condition I put 1 day after decision PASS",22/07/2022,Blocking,,1,,,PASS
QA-049,Phase 10 : Form Lifecycle Task and Notification,"Task: Student did not receive task to complete ES
Continous ES",22/07/2022,Major,,1,,,PASS
QA-050,Phase 10 : Form Lifecycle Task and Notification,Notification: Student receive notification UserForm_N7 multiple times after completing the form (validator did not yet validate the form),22/07/2022,Blocking,,1,0:45,1:00,PASS
QA-051,Phase 10 : Form Lifecycle Task and Notification,"When student try to complete revision, There is error Cannot read property 'step_status' of undefined",22/07/2022,Blocking,,1,0:45,1:00,PASS
QA-052,Phase 03 : Employability Survey Detail,Table: Filter and sorting in column status is not working yet,25/07/2022,Moderate,,1,0:40,1:45,PASS
QA-053,Phase 05 : Employability Survey ES Result Table,"When user filter the ES status column by ""Not Sent"" in the Step 2: ES Result for continuous ES :
- the number of students in the pagination is not correct
- it filtered but on page 1 it only have 9 students displayed when max student in 1 page are 10 

When user filter the ES status column by ""Not Sent"" in the Step 2: ES Result for one time ES :
- the table is not filtered, it show no data",25/07/2022,Moderate,,1,0:40,2:00,PASS
QA-054,Phase 10 : Form Lifecycle Task and Notification,Final step validation: We will not use the notif from the form builder for the validation. we will follow the old flow using the cronjob. Please note user need to set up validation type as final validation. if its Validation type is step validation we will use notif from each step / UserForm_N5,25/07/2022,Blocking,,1,1:00,1:40,PASS
QA-055,Phase 10 : Form Lifecycle Task and Notification,"Notification rule:
If User set custom notif in the form builder, please use the one in the form , if not use this default notif
Default notif check here",25/07/2022,Blocking,,1,1:00,1:20,PASS
QA-056,Phase 10 : Form Lifecycle Task and Notification,There should be No default notif for case Validator validate the form.  if they decide to add in the step then we will send it. if not no need to send the default,25/07/2022,Blocking,,1,1:00,1:54,PASS
QA-057,Phase 04 : Employability Survey ES Parameters,[Backend] There is no radio button for Relative Date and Exact Date in the Step 1: ES Parameter for Continuous ES,25/07/2022,Major,,1,2:00,1:40,PASS
QA-058,Phase 04 : Employability Survey ES Parameters,MA 2022 ROCKET: I click Send to Student button for the ES but the status remain not published,25/07/2022,Blocking,,1,2:00,2:00,PASS
QA-059,Phase 10 : Form Lifecycle Task and Notification,"Notification Reminder: when user click on the Reminder button, currently it sent ESurvey_N4.
Expectation:
1. If there is no ""Reminder"" notification from form builder, it should send ESNFStudRemind_N1
2. If there is notification ""Reminder"" set in the form builder, send the notification remider in which Step that student need to do (Example student still in Step 5, so notification reminder for step 5 that must be sent)",25/07/2022,Blocking,,1,,,PASS
QA-060,Phase 10 : Form Lifecycle Task and Notification,"Task: Student already complete the form but the task is not marked as done
Test data: RM2C IFC BRDV AMD ES",25/07/2022,Blocking,,1,,,PASS
QA-061,Phase 10 : Form Lifecycle Task and Notification,"Notification: currently, when validator reject the ES it still send UserForm_N1. it must be ESurvey_N6 for ES",25/07/2022,Blocking,,1,,,PASS
QA-062,Phase 05 : Employability Survey ES Result Table,Status: I reject the ES but the status in ES Result table still displayed as Completed by student,25/07/2022,Major,,1,,,PASS
QA-063,,"Keys not populated in:
- Step Summary on the Footer (Link screenshot)
- Final Message (link screenshot)

Link to form",25/07/2022,Major,,1,2:00,2:08,PASS
QA-064,Phase 06 : Employability Survey ES Result Details,"[Backend] Export: There is error when user want to export ES Result.
Cannot read properties of undefined (reading 'student_responses')",25/07/2022,Major,,1,1:00,1:00,PASS
QA-065,Phase 10 : Form Lifecycle Task and Notification,"Task: Currently I completed the ES as the student, and the form is only having Final Validation which the validator is Operator Director.
But, there are 3 task generated:
1 Task Validate ES for Operator Director - Correct
1 Task to validate step of ES for Operator Director - WRONG
1  Task to validate ES for ""ACHERAIOU Yani""  - WRONG",26/07/2022,Blocking,,1,1:00,2:00,PASS
QA-066,Phase 10 : Form Lifecycle Task and Notification,Task for Revision of student is not displayed for student because there is no  due date,26/07/2022,Blocking,,1,,,PASS
QA-067,Phase 10 : Form Lifecycle Task and Notification,There is GraphQL error when I try to reject ES of the student GraphQL error: updatedFormProcess is not defined,26/07/2022,Blocking,,1,,,PASS
QA-068,Phase 10 : Form Lifecycle Task and Notification,"Notification: ESurvey_N6 - When the form template has custom notification, currently it still sending ESurvey_N6 instead taking the custom notif",26/07/2022,Major,,1,,,PASS
